"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","540","adminCantDeleteAlreadyDeletedUser()","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.admin.negative.DeleteUserNegativeTest","apisenior.onlyapi.admin.negative.DeleteUserNegativeTest","adminCantDeleteAlreadyDeletedUser"
"","568","Юзер не может сменить имя, используя невалидное имя [1] invalidName=Polina  Polina, expectedErrorMessage=Name must contain two words with letters only","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.user.changename.UserChangeNameNegativeTest","apisenior.onlyapi.user.changename.UserChangeNameNegativeTest","userCantChangeName"
"","546","adminCanGetAllUsersSuccessfully()","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.admin.AdminPositiveTest","apisenior.onlyapi.admin.AdminPositiveTest","adminCanGetAllUsersSuccessfully"
"","573","userReceiverCanSearchTransactionBySenderUsername()","","2026-06-17","broken","2026-06-17","","uisenior.transferagain.TransferAgainPositiveTest","uisenior.transferagain.TransferAgainPositiveTest","userReceiverCanSearchTransactionBySenderUsername"
"","348","userCanGoToTransferAgainClickingButton()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyPositiveTest","uisenior.transfermoney.TransferMoneyPositiveTest","userCanGoToTransferAgainClickingButton"
"","457","unknownUserCantDeleteUser()","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.admin.negative.DeleteUserNegativeTest","apisenior.onlyapi.admin.negative.DeleteUserNegativeTest","unknownUserCantDeleteUser"
"","569","Юзер не может сменить имя, используя невалидное имя [3] invalidName= , expectedErrorMessage=Name must contain two words with letters only","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.user.changename.UserChangeNameNegativeTest","apisenior.onlyapi.user.changename.UserChangeNameNegativeTest","userCantChangeName"
"","580","userCantTransferOutAgainIfAmountMoreThanBalance()","","2026-06-17","broken","2026-06-17","","uisenior.transferagain.TransferAgainNegativeTest","uisenior.transferagain.TransferAgainNegativeTest","userCantTransferOutAgainIfAmountMoreThanBalance"
"","1728","Юзер не может делать перевод от лица другого юзера","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.user.transfermoney.UserTransferNegativeTest","apisenior.onlyapi.user.transfermoney.UserTransferNegativeTest","userCantTransferMoneyUsingOtherUserCredentials"
"","617","userCanTransferOutAgain()","","2026-06-17","broken","2026-06-17","","uisenior.transferagain.TransferAgainPositiveTest","uisenior.transferagain.TransferAgainPositiveTest","userCanTransferOutAgain"
"","608","userCantTransferMoneyByAccId()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyNegativeTest","uisenior.transfermoney.TransferMoneyNegativeTest","userCantTransferMoneyByAccId"
"","867","Юзер делает депозит","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.user.makesdeposit.UserMakesDepositTest","apisenior.onlyapi.user.makesdeposit.UserMakesDepositTest","authUserMakesDeposit"
"","602","userMustNotInitiateTransferInTransaction()","","2026-06-17","broken","2026-06-17","","uisenior.transferagain.TransferAgainNegativeTest","uisenior.transferagain.TransferAgainNegativeTest","userMustNotInitiateTransferInTransaction"
"","463","adminCantCreateUserWithUnappropriatedUsername()","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.admin.negative.AdminCreateUserNegativeTest","apisenior.onlyapi.admin.negative.AdminCreateUserNegativeTest","adminCantCreateUserWithUnappropriatedUsername"
"","1555","Юзер не может переводить невалидную сумму при балансе 5000 [4] invalidSum=6000.0, expectedErrorMessage=Invalid transfer: insufficient funds or invalid accounts","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.user.transfermoney.UserTransferNegativeTest","apisenior.onlyapi.user.transfermoney.UserTransferNegativeTest","userTransferInvalidSumToUser"
"","326","userCanSeeDepositTransaction()","","2026-06-17","broken","2026-06-17","","uisenior.transferagain.TransferAgainPositiveTest","uisenior.transferagain.TransferAgainPositiveTest","userCanSeeDepositTransaction"
"","336","userCanSeeNewName()","","2026-06-17","broken","2026-06-17","","uisenior.changename.ChangeNamePositiveTest","uisenior.changename.ChangeNamePositiveTest","userCanSeeNewName"
"","1746","Юзер не может переводить сумму больше 10 000 при балансе больше 10 000 [1] invalidSum=10001.0, expectedErrorMessage=Transfer amount cannot exceed 10000","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.user.transfermoney.UserTransferNegativeTest","apisenior.onlyapi.user.transfermoney.UserTransferNegativeTest","userTransferInsufficientSumToUser"
"","316","userCanGoFromDashboardToDepositMoneyPage()","","2026-06-17","broken","2026-06-17","","uisenior.makedeposit.MakeDepositPositiveTest","uisenior.makedeposit.MakeDepositPositiveTest","userCanGoFromDashboardToDepositMoneyPage"
"","535","adminCanDeleteUserSuccessfully()","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.admin.AdminPositiveTest","apisenior.onlyapi.admin.AdminPositiveTest","adminCanDeleteUserSuccessfully"
"","593","userCanTransferMoneyToUserWithRecipientName()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyPositiveTest","uisenior.transfermoney.TransferMoneyPositiveTest","userCanTransferMoneyToUserWithRecipientName"
"","2101","unknownUserCantGetAllUsers()","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.admin.negative.GetAllUsersNegativeTest","apisenior.onlyapi.admin.negative.GetAllUsersNegativeTest","unknownUserCantGetAllUsers"
"","646","userIsForbiddenToDeleteUser()","","2026-06-17","passed","2026-06-17","","apisenior.onlyapi.admin.negative.DeleteUserNegativeTest","apisenior.onlyapi.admin.negative.DeleteUserNegativeTest","userIsForbiddenToDeleteUser"
"","610","userCantMakeTransferToItsAccId()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyNegativeTest","uisenior.transfermoney.TransferMoneyNegativeTest","userCantMakeTransferToItsAccId"
"","652","userCantTransferMoneyMoreThanHas()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyNegativeTest","uisenior.transfermoney.TransferMoneyNegativeTest","userCantTransferMoneyMoreThanHas"
"","631","userCantTransferWithoutCheckbox()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyNegativeTest","uisenior.transfermoney.TransferMoneyNegativeTest","userCantTransferWithoutCheckbox"
"","376","userCantTransferMoneyToUnknownAcc()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyNegativeTest","uisenior.transfermoney.TransferMoneyNegativeTest","userCantTransferMoneyToUnknownAcc"
"","606","userReceiverCanSearchTransactionBySenderName()","","2026-06-17","broken","2026-06-17","","uisenior.transferagain.TransferAgainPositiveTest","uisenior.transferagain.TransferAgainPositiveTest","userReceiverCanSearchTransactionBySenderName"
"","669","userCantTransferMoneyWithoutSum()","","2026-06-17","broken","2026-06-17","","uisenior.transfermoney.TransferMoneyNegativeTest","uisenior.transfermoney.TransferMoneyNegativeTest","userCantTransferMoneyWithoutSum"
"","332","userCanMakeDepositInTransferAgain()","","2026-06-17","broken","2026-06-17","","uisenior.transferagain.TransferAgainPositiveTest","uisenior.transferagain.TransferAgainPositiveTest","userCanMakeDepositInTransferAgain"
